epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,724.415,3.00597,31.4243,2.19166,0,0,0,0,0.94495,1.8984,0.96467,0.00332941,0.00332941,0.00332941
2,1408.34,2.68619,3.49268,1.81312,0.07457,0.06569,0.04034,0.01132,0.59934,1.0551,0.42399,0.00664075,0.00664075,0.00664075
3,2085.02,2.29104,2.11888,1.49707,0.4741,0.37508,0.34534,0.11497,0.58628,0.70426,0.37374,0.0099301,0.0099301,0.0099301
4,2758.93,1.9935,1.58332,1.33886,0.54698,0.45073,0.4987,0.20752,0.49612,0.4163,0.33533,0.009901,0.009901,0.009901
5,3433.61,1.857,1.44131,1.2555,0.70564,0.53467,0.64399,0.32662,0.41502,0.35791,0.29461,0.009868,0.009868,0.009868
6,4108.66,1.83075,1.37696,1.23651,0.87365,0.54015,0.7057,0.36866,0.43483,0.37303,0.29324,0.009835,0.009835,0.009835
7,4782.87,1.71586,1.26244,1.1818,0.62329,0.60036,0.66072,0.30827,0.42311,0.32442,0.28964,0.009802,0.009802,0.009802
8,5457.08,1.68215,1.18709,1.14174,0.8304,0.66423,0.81376,0.44553,0.38772,0.31586,0.26844,0.009769,0.009769,0.009769
9,6132.23,1.59281,1.15067,1.1119,0.88244,0.65511,0.8228,0.45622,0.36636,0.35633,0.25813,0.009736,0.009736,0.009736
10,6807.86,1.55116,1.09074,1.07249,0.84342,0.68431,0.82067,0.49019,0.36214,0.29644,0.25419,0.009703,0.009703,0.009703
11,7483.16,1.53821,1.05094,1.0618,0.85301,0.70255,0.84899,0.49449,0.34555,0.248,0.25485,0.00967,0.00967,0.00967
12,8159.13,1.54661,1.0501,1.06657,0.82193,0.66543,0.81237,0.45253,0.35398,0.27035,0.25783,0.009637,0.009637,0.009637
13,8833.66,1.44721,0.98009,1.02224,0.82503,0.7792,0.87834,0.51125,0.35034,0.24021,0.25118,0.009604,0.009604,0.009604
14,9510.21,1.44665,0.96584,1.04674,0.83367,0.79927,0.88883,0.51641,0.34229,0.271,0.24646,0.009571,0.009571,0.009571
15,10187.2,1.43081,0.97958,1.0086,0.84069,0.81204,0.90502,0.54456,0.31896,0.25888,0.23825,0.009538,0.009538,0.009538
16,10862.6,1.40629,0.95633,1.0268,0.8866,0.71898,0.89205,0.54597,0.31339,0.22732,0.23826,0.009505,0.009505,0.009505
