epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,11535.5,1.39681,0.92704,1.01158,0.78894,0.80489,0.87086,0.53882,0.31682,0.22848,0.24039,0.009472,0.009472,0.009472
18,12209.7,1.36775,0.90124,0.99832,0.81431,0.84124,0.90076,0.56585,0.30448,0.23263,0.23253,0.009439,0.009439,0.009439
19,12885.2,1.32483,0.88663,0.94826,0.84634,0.80109,0.90828,0.56649,0.30239,0.234,0.23476,0.009406,0.009406,0.009406
20,13559.1,1.31869,0.8666,0.95473,0.83407,0.87226,0.92243,0.58582,0.29386,0.2263,0.22652,0.009373,0.009373,0.009373
21,14233.4,1.35943,0.89447,0.97511,0.85733,0.80049,0.91579,0.58864,0.2894,0.21355,0.2263,0.00934,0.00934,0.00934
22,14907.8,1.36773,0.88839,0.9944,0.83482,0.84672,0.9122,0.57722,0.30653,0.21948,0.23144,0.009307,0.009307,0.009307
23,15580.9,1.29152,0.84173,0.93549,0.82358,0.89446,0.92776,0.58409,0.29938,0.20898,0.22836,0.009274,0.009274,0.009274
24,16254.2,1.25215,0.81151,0.93043,0.86317,0.82847,0.9162,0.58085,0.30265,0.20048,0.22958,0.009241,0.009241,0.009241
25,16927.8,1.2483,0.79923,0.93589,0.84345,0.88484,0.9285,0.61875,0.28624,0.19967,0.22271,0.009208,0.009208,0.009208
26,17599.2,1.22424,0.7905,0.91072,0.84396,0.88827,0.93463,0.61263,0.2816,0.1928,0.22162,0.009175,0.009175,0.009175
27,18271.7,1.3005,0.85794,0.98722,0.83562,0.89051,0.93618,0.61694,0.282,0.23164,0.2215,0.009142,0.009142,0.009142
28,18944.1,1.2979,0.82936,0.96508,0.82945,0.88749,0.93471,0.61333,0.2855,0.20968,0.22287,0.009109,0.009109,0.009109
29,19616.2,1.24987,0.79201,0.93846,0.8632,0.82904,0.92906,0.62,0.27022,0.19687,0.21845,0.009076,0.009076,0.009076
30,20288.6,1.22141,0.78703,0.92614,0.84425,0.9001,0.94573,0.61932,0.27749,0.20317,0.21958,0.009043,0.009043,0.009043
31,20963.1,1.24646,0.77315,0.95372,0.85375,0.88869,0.9344,0.61432,0.28125,0.19286,0.22215,0.00901,0.00901,0.00901
32,22127.3,1.25914,0.81373,0.92931,0.86111,0.85766,0.9362,0.62896,0.2697,0.1883,0.21587,0.008977,0.008977,0.008977
33,23531.3,1.22215,0.77352,0.92552,0.86448,0.88467,0.93449,0.62828,0.27442,0.18795,0.21622,0.008944,0.008944,0.008944
34,24945.3,1.19645,0.76614,0.90808,0.86506,0.88504,0.94509,0.62981,0.27038,0.18349,0.21582,0.008911,0.008911,0.008911
35,26354.7,1.20217,0.79393,0.9251,0.85605,0.90071,0.94224,0.64084,0.25715,0.18791,0.213,0.008878,0.008878,0.008878
36,27762.5,1.20733,0.7677,0.94447,0.86893,0.89051,0.95184,0.65014,0.26267,0.19609,0.21374,0.008845,0.008845,0.008845
37,29181.5,1.15743,0.75896,0.89788,0.86363,0.89781,0.94558,0.63916,0.26837,0.18331,0.21727,0.008812,0.008812,0.008812
38,30318.4,1.23299,0.76319,0.93208,0.84744,0.91241,0.94817,0.63216,0.2637,0.1917,0.21508,0.008779,0.008779,0.008779
39,30995.1,1.17643,0.74481,0.92171,0.87777,0.91423,0.95178,0.64224,0.2611,0.20101,0.21292,0.008746,0.008746,0.008746
40,31671.2,1.22315,0.75375,0.92891,0.88874,0.90146,0.95979,0.64725,0.25998,0.18289,0.21518,0.008713,0.008713,0.008713
41,32347.6,1.14596,0.75015,0.91613,0.86848,0.91606,0.94974,0.64578,0.25755,0.17364,0.21337,0.00868,0.00868,0.00868
42,33023.1,1.14065,0.71553,0.88331,0.89121,0.89051,0.96006,0.65977,0.25952,0.18734,0.21302,0.008647,0.008647,0.008647
43,33698.9,1.17713,0.7319,0.91152,0.87349,0.90328,0.95632,0.65783,0.25868,0.1906,0.21216,0.008614,0.008614,0.008614
44,34375.4,1.10003,0.68451,0.8662,0.89614,0.89599,0.95259,0.64747,0.26634,0.17899,0.21389,0.008581,0.008581,0.008581
45,35051.8,1.15092,0.73988,0.9114,0.87775,0.91718,0.94926,0.65126,0.2651,0.18,0.21378,0.008548,0.008548,0.008548
46,36348.5,1.15603,0.72404,0.91541,0.85281,0.91423,0.94684,0.65298,0.25913,0.18071,0.21348,0.008515,0.008515,0.008515
47,37752.6,1.07695,0.6822,0.86865,0.83753,0.93431,0.94942,0.64742,0.25117,0.18657,0.21268,0.008482,0.008482,0.008482
48,39155.9,1.17419,0.74274,0.91998,0.85913,0.92371,0.95537,0.65492,0.24914,0.18283,0.21179,0.008449,0.008449,0.008449
49,40563,1.12877,0.70851,0.89447,0.87563,0.91971,0.95303,0.64956,0.2535,0.18546,0.21231,0.008416,0.008416,0.008416
50,41642.4,1.16401,0.72647,0.89845,0.87881,0.91423,0.95595,0.65451,0.25007,0.17991,0.21102,0.008383,0.008383,0.008383
51,42321.3,1.10584,0.68434,0.87859,0.88678,0.89599,0.96161,0.66013,0.24902,0.17765,0.21035,0.00835,0.00835,0.00835
52,43027.1,1.13201,0.71696,0.89712,0.89617,0.91348,0.9565,0.66208,0.25121,0.17837,0.21004,0.008317,0.008317,0.008317
53,43709.1,1.13536,0.69088,0.89224,0.8804,0.91788,0.95188,0.6596,0.25237,0.17982,0.20936,0.008284,0.008284,0.008284
54,44383.1,1.10594,0.70466,0.87642,0.8833,0.92539,0.95108,0.66593,0.25167,0.17715,0.20898,0.008251,0.008251,0.008251
55,45057,1.09036,0.65988,0.89434,0.88238,0.91722,0.95265,0.66333,0.25086,0.17909,0.2082,0.008218,0.008218,0.008218
56,45730.9,1.13076,0.69721,0.89705,0.87419,0.92565,0.95425,0.66269,0.25104,0.17711,0.20849,0.008185,0.008185,0.008185
57,46405,1.14343,0.72788,0.88783,0.87862,0.93613,0.96301,0.66611,0.2521,0.17875,0.20868,0.008152,0.008152,0.008152
58,47078.7,1.15605,0.71585,0.91042,0.87269,0.9382,0.96251,0.66638,0.2518,0.1797,0.20838,0.008119,0.008119,0.008119
59,47752.2,1.11581,0.69745,0.89266,0.87502,0.93264,0.95951,0.6702,0.25029,0.18143,0.20806,0.008086,0.008086,0.008086
60,48425.6,1.10983,0.68109,0.87895,0.873,0.92701,0.95609,0.66975,0.25039,0.18163,0.20787,0.008053,0.008053,0.008053
61,49099,1.122,0.67401,0.90606,0.87844,0.93248,0.96151,0.67368,0.24968,0.17885,0.20801,0.00802,0.00802,0.00802
62,49773.3,1.11132,0.70725,0.90733,0.88415,0.9192,0.96007,0.67298,0.24679,0.17822,0.20776,0.007987,0.007987,0.007987
63,50447,1.13419,0.70958,0.89493,0.88445,0.91058,0.95879,0.67244,0.24516,0.17843,0.20812,0.007954,0.007954,0.007954
64,51120.5,1.12717,0.7148,0.89042,0.88567,0.90328,0.95892,0.67256,0.24541,0.17754,0.20816,0.007921,0.007921,0.007921
65,51794.8,1.09662,0.64839,0.87962,0.88559,0.90404,0.9535,0.67309,0.24503,0.17693,0.20782,0.007888,0.007888,0.007888
66,52468.7,1.11429,0.68837,0.88325,0.87912,0.91971,0.96005,0.6776,0.2443,0.17733,0.2073,0.007855,0.007855,0.007855
67,53143.3,1.07164,0.66148,0.879,0.88463,0.91423,0.96067,0.67868,0.24365,0.17746,0.20675,0.007822,0.007822,0.007822
68,53818.2,1.07598,0.65144,0.85389,0.8873,0.91423,0.96076,0.67843,0.24415,0.17646,0.20684,0.007789,0.007789,0.007789
69,54492.2,1.09816,0.68557,0.87639,0.88863,0.91788,0.96012,0.67798,0.24362,0.17633,0.20647,0.007756,0.007756,0.007756
70,55166.2,1.10404,0.70505,0.88846,0.89268,0.91073,0.95982,0.6805,0.24422,0.17528,0.20669,0.007723,0.007723,0.007723
71,55840.6,1.07521,0.66911,0.87533,0.89441,0.8965,0.95988,0.68017,0.24393,0.17565,0.20677,0.00769,0.00769,0.00769
72,56515.1,1.08334,0.64204,0.85617,0.89536,0.89781,0.95984,0.67931,0.24342,0.17589,0.20682,0.007657,0.007657,0.007657
73,57189.6,1.05909,0.6245,0.86974,0.89189,0.90328,0.95852,0.67759,0.2439,0.17589,0.20673,0.007624,0.007624,0.007624
74,57864,1.08964,0.66211,0.88206,0.88713,0.90328,0.95815,0.67491,0.24421,0.17648,0.20689,0.007591,0.007591,0.007591
75,58538.2,1.08192,0.66876,0.86438,0.89187,0.90311,0.95855,0.67584,0.24452,0.17594,0.20681,0.007558,0.007558,0.007558
76,59213.5,1.1076,0.67469,0.89551,0.88419,0.90556,0.95836,0.6734,0.24453,0.17607,0.20706,0.007525,0.007525,0.007525
77,59888.2,1.05787,0.64071,0.86637,0.88753,0.90693,0.95864,0.67291,0.24444,0.17603,0.20707,0.007492,0.007492,0.007492
78,60562,1.06033,0.66435,0.87014,0.88435,0.90697,0.9585,0.67495,0.24469,0.1753,0.20682,0.007459,0.007459,0.007459
79,61236.1,1.06588,0.65762,0.88396,0.88606,0.90819,0.95799,0.67622,0.24424,0.17475,0.20686,0.007426,0.007426,0.007426
80,61911.3,1.03288,0.64065,0.81879,0.88674,0.90693,0.95707,0.67673,0.24447,0.17442,0.20688,0.007393,0.007393,0.007393
81,62586.2,1.04557,0.65419,0.85816,0.88521,0.91058,0.95816,0.67939,0.24411,0.17455,0.20667,0.00736,0.00736,0.00736
82,63259.5,1.03961,0.62722,0.86467,0.88428,0.90693,0.95758,0.68087,0.24356,0.17398,0.20659,0.007327,0.007327,0.007327
83,63932.9,1.04561,0.62859,0.87936,0.88625,0.90989,0.958,0.67895,0.24373,0.1735,0.20663,0.007294,0.007294,0.007294
84,64605.8,1.07172,0.65725,0.85537,0.88784,0.91001,0.95752,0.67965,0.24329,0.17324,0.20652,0.007261,0.007261,0.007261
85,65278.3,1.07021,0.65428,0.86372,0.88313,0.91058,0.95701,0.68166,0.2427,0.17295,0.20649,0.007228,0.007228,0.007228
86,65951.4,1.03205,0.6047,0.83623,0.88764,0.90822,0.95733,0.68007,0.24252,0.17254,0.20635,0.007195,0.007195,0.007195
87,66623.3,1.10942,0.67618,0.90116,0.88719,0.90417,0.95644,0.68034,0.24246,0.17233,0.20629,0.007162,0.007162,0.007162
88,67296,1.05597,0.62603,0.85405,0.88719,0.90412,0.95632,0.68107,0.24269,0.17192,0.20629,0.007129,0.007129,0.007129
89,67968.4,1.09672,0.68378,0.88086,0.88533,0.90876,0.957,0.68097,0.24249,0.17188,0.20618,0.007096,0.007096,0.007096
90,68641.6,1.02803,0.60501,0.86665,0.88304,0.90876,0.95792,0.68048,0.2421,0.17144,0.20603,0.007063,0.007063,0.007063
91,69314.3,1.04007,0.61975,0.86504,0.88631,0.91047,0.95747,0.67986,0.2413,0.17143,0.20588,0.00703,0.00703,0.00703
92,69987.8,1.08236,0.64372,0.90947,0.88484,0.91142,0.95744,0.68194,0.24135,0.17098,0.20576,0.006997,0.006997,0.006997
93,70662.5,1.00766,0.60285,0.85974,0.88305,0.90943,0.95751,0.68164,0.24133,0.17061,0.20574,0.006964,0.006964,0.006964
94,71336.6,1.03303,0.60283,0.85445,0.88304,0.91058,0.95738,0.68302,0.2408,0.17022,0.20563,0.006931,0.006931,0.006931
95,72010.9,1.01624,0.63217,0.85224,0.88407,0.91058,0.95741,0.68317,0.24069,0.17021,0.2055,0.006898,0.006898,0.006898
96,72684.8,1.00689,0.59702,0.85627,0.88606,0.91058,0.95786,0.68336,0.24045,0.17008,0.20547,0.006865,0.006865,0.006865
97,73359.5,1.01543,0.62115,0.8396,0.88636,0.91058,0.95795,0.68268,0.24037,0.17007,0.20548,0.006832,0.006832,0.006832
98,74033.5,1.00978,0.60902,0.83674,0.88688,0.91058,0.95799,0.68373,0.24008,0.16993,0.20538,0.006799,0.006799,0.006799
99,74708.4,1.03262,0.59925,0.87295,0.88634,0.91058,0.95795,0.6828,0.23998,0.16975,0.20531,0.006766,0.006766,0.006766
100,75383.2,1.03973,0.60414,0.87505,0.88762,0.90801,0.95698,0.68327,0.23989,0.16957,0.2053,0.006733,0.006733,0.006733
101,76058.3,1.01011,0.59301,0.85027,0.88477,0.91058,0.95689,0.68293,0.23966,0.16962,0.20524,0.0067,0.0067,0.0067
102,76733.1,0.97171,0.60877,0.83217,0.88906,0.90672,0.95586,0.68312,0.23979,0.16953,0.20526,0.006667,0.006667,0.006667
103,77407.7,1.00177,0.5877,0.86966,0.89476,0.8999,0.95661,0.68373,0.23989,0.16925,0.20521,0.006634,0.006634,0.006634
104,78083.1,1.01459,0.60386,0.84658,0.8932,0.90146,0.95672,0.68299,0.23973,0.16895,0.20524,0.006601,0.006601,0.006601
105,78757.6,1.01439,0.61524,0.85343,0.89011,0.90168,0.95777,0.68314,0.23952,0.16882,0.20522,0.006568,0.006568,0.006568
106,79432.2,1.00289,0.60512,0.85996,0.89467,0.90146,0.95622,0.68335,0.23949,0.16879,0.20519,0.006535,0.006535,0.006535
107,80106.8,0.98336,0.58705,0.83959,0.8741,0.92484,0.95854,0.6831,0.23946,0.16897,0.20511,0.006502,0.006502,0.006502
108,80783.1,1.00886,0.59183,0.86283,0.87454,0.92336,0.95877,0.68233,0.23966,0.16901,0.20512,0.006469,0.006469,0.006469
109,81457.6,1.00834,0.57804,0.83877,0.87988,0.92518,0.95986,0.68456,0.23966,0.16885,0.20502,0.006436,0.006436,0.006436
110,82133.3,0.99119,0.58849,0.84471,0.88105,0.92336,0.95978,0.68484,0.23959,0.16884,0.20498,0.006403,0.006403,0.006403
111,82808.2,1.03968,0.62103,0.89014,0.87957,0.92518,0.95983,0.68375,0.2394,0.16852,0.20494,0.00637,0.00637,0.00637
112,83483.9,0.9449,0.56364,0.80632,0.87877,0.92518,0.95999,0.68491,0.23917,0.16851,0.20493,0.006337,0.006337,0.006337
113,84160,0.99423,0.57781,0.85537,0.8773,0.92518,0.95859,0.6855,0.23905,0.16875,0.20493,0.006304,0.006304,0.006304
114,84836.6,0.99366,0.60533,0.82068,0.88146,0.92269,0.95775,0.68543,0.23904,0.16862,0.20485,0.006271,0.006271,0.006271
115,85512,1.00667,0.61069,0.85945,0.8825,0.92153,0.95775,0.68543,0.23904,0.16908,0.20479,0.006238,0.006238,0.006238
116,86187.8,0.99135,0.61339,0.83512,0.88719,0.92153,0.95775,0.68536,0.23902,0.16928,0.20475,0.006205,0.006205,0.006205
117,86863.7,0.96613,0.58786,0.82265,0.88909,0.9216,0.95778,0.68557,0.23868,0.16924,0.20471,0.006172,0.006172,0.006172
118,87538.7,0.9588,0.59954,0.81187,0.8887,0.91795,0.95793,0.68733,0.23871,0.16938,0.20464,0.006139,0.006139,0.006139
119,88214.6,0.96454,0.57672,0.84225,0.88983,0.91788,0.95783,0.68674,0.23856,0.1692,0.20459,0.006106,0.006106,0.006106
120,88890.9,1.00337,0.58613,0.85679,0.89064,0.91788,0.95774,0.68742,0.23859,0.16912,0.20458,0.006073,0.006073,0.006073
121,89567.5,0.97196,0.57325,0.83374,0.89013,0.91788,0.9578,0.6865,0.2391,0.16906,0.20449,0.00604,0.00604,0.00604
122,90243.6,0.9662,0.5668,0.81708,0.89223,0.91788,0.95755,0.6876,0.23927,0.16857,0.20457,0.006007,0.006007,0.006007
123,90921.1,1.00343,0.6176,0.8664,0.89229,0.91788,0.9575,0.68755,0.23937,0.16854,0.20457,0.005974,0.005974,0.005974
124,91597.1,0.96999,0.60699,0.85279,0.89566,0.91788,0.95757,0.68806,0.23956,0.16848,0.2046,0.005941,0.005941,0.005941
125,92274.3,0.94548,0.53617,0.80342,0.89102,0.91788,0.95766,0.68738,0.23979,0.16849,0.20457,0.005908,0.005908,0.005908
126,92951.7,0.96473,0.55711,0.83208,0.89027,0.91789,0.95718,0.68725,0.23967,0.16873,0.20455,0.005875,0.005875,0.005875
127,93629.2,0.97902,0.57243,0.84227,0.89184,0.91789,0.95737,0.68831,0.2399,0.16872,0.20453,0.005842,0.005842,0.005842
128,94308.1,0.98115,0.57278,0.83287,0.89343,0.91788,0.95722,0.68875,0.2399,0.16838,0.20448,0.005809,0.005809,0.005809
129,94986.1,0.98311,0.58936,0.85332,0.89365,0.91971,0.95734,0.6895,0.2397,0.16844,0.20445,0.005776,0.005776,0.005776
130,95663.8,1.01236,0.60667,0.86382,0.89345,0.91813,0.95758,0.68922,0.23935,0.1681,0.20436,0.005743,0.005743,0.005743
131,96341.8,0.97535,0.57739,0.83847,0.89218,0.91788,0.95762,0.68952,0.23941,0.1679,0.20431,0.00571,0.00571,0.00571
132,97020.4,0.9534,0.55826,0.84868,0.8928,0.91971,0.95763,0.68951,0.23936,0.16779,0.20426,0.005677,0.005677,0.005677
133,97697.7,1.01688,0.60072,0.85185,0.8921,0.92037,0.95768,0.69012,0.23904,0.16779,0.20424,0.005644,0.005644,0.005644
134,98373.7,0.96434,0.56521,0.82622,0.89322,0.91971,0.95765,0.68947,0.239,0.16769,0.20421,0.005611,0.005611,0.005611
135,99048.6,0.96764,0.57466,0.84114,0.89358,0.91931,0.95764,0.68955,0.23907,0.1676,0.20409,0.005578,0.005578,0.005578
136,99723.5,0.92085,0.5575,0.80373,0.89284,0.91971,0.95776,0.68943,0.23918,0.16787,0.20407,0.005545,0.005545,0.005545
137,100398,0.9556,0.5575,0.8382,0.89534,0.921,0.95852,0.68894,0.23877,0.16774,0.20408,0.005512,0.005512,0.005512
138,101073,0.92157,0.54295,0.80728,0.89502,0.92153,0.9585,0.68817,0.239,0.16761,0.20409,0.005479,0.005479,0.005479
139,101747,0.93844,0.56151,0.83536,0.89211,0.91971,0.95783,0.68858,0.23902,0.16774,0.20405,0.005446,0.005446,0.005446
140,102423,0.94825,0.57198,0.83019,0.89476,0.91971,0.9585,0.68755,0.23876,0.16769,0.20398,0.005413,0.005413,0.005413
141,103099,0.97618,0.55457,0.8179,0.89396,0.92304,0.95867,0.68857,0.23871,0.16741,0.20395,0.00538,0.00538,0.00538
142,103776,0.97278,0.55905,0.83427,0.89674,0.91918,0.95857,0.68724,0.23866,0.1676,0.20392,0.005347,0.005347,0.005347
143,104452,0.98353,0.55011,0.85039,0.89399,0.92334,0.95864,0.68691,0.23877,0.16781,0.20394,0.005314,0.005314,0.005314
144,105128,0.94653,0.56239,0.82146,0.89366,0.91788,0.95844,0.68823,0.23915,0.16829,0.20393,0.005281,0.005281,0.005281
145,105803,0.93383,0.53488,0.82,0.89512,0.91887,0.95804,0.68725,0.23886,0.16819,0.20388,0.005248,0.005248,0.005248
146,106480,0.93066,0.56469,0.81553,0.89575,0.91788,0.95808,0.68786,0.23914,0.16835,0.20389,0.005215,0.005215,0.005215
147,107156,0.97425,0.54778,0.85188,0.89423,0.91971,0.95812,0.68739,0.23927,0.16822,0.20385,0.005182,0.005182,0.005182
148,107833,0.96314,0.55646,0.83819,0.89427,0.91971,0.95813,0.68679,0.2394,0.16816,0.20383,0.005149,0.005149,0.005149
149,108510,0.92999,0.53332,0.82082,0.89031,0.91833,0.95813,0.68733,0.23946,0.16835,0.20383,0.005116,0.005116,0.005116
150,109187,0.91084,0.53817,0.82442,0.8903,0.91822,0.95829,0.6879,0.23943,0.1685,0.20384,0.005083,0.005083,0.005083
151,109865,0.905,0.53523,0.81949,0.89198,0.91788,0.95851,0.68811,0.23908,0.16839,0.20376,0.00505,0.00505,0.00505
152,110541,0.90981,0.52066,0.81076,0.89088,0.91788,0.9586,0.68729,0.23936,0.16818,0.20369,0.005017,0.005017,0.005017
153,111218,0.96719,0.56763,0.81749,0.89368,0.91788,0.95869,0.68772,0.23916,0.16848,0.20369,0.004984,0.004984,0.004984
154,111896,0.91329,0.53701,0.80043,0.89345,0.91788,0.9588,0.68943,0.23902,0.16837,0.20362,0.004951,0.004951,0.004951
155,112573,0.94129,0.53217,0.81673,0.89361,0.91965,0.95897,0.6882,0.23928,0.16784,0.20359,0.004918,0.004918,0.004918
156,113251,0.89974,0.53654,0.80439,0.89355,0.92153,0.95899,0.68866,0.23918,0.16736,0.20358,0.004885,0.004885,0.004885
157,113929,0.92568,0.53802,0.83128,0.89225,0.92179,0.95926,0.6896,0.23916,0.1673,0.20353,0.004852,0.004852,0.004852
158,114607,0.90603,0.52745,0.83516,0.89223,0.92159,0.9592,0.69044,0.23927,0.1672,0.20354,0.004819,0.004819,0.004819
159,115283,0.94466,0.52043,0.83992,0.89372,0.92069,0.95924,0.69013,0.23899,0.16686,0.20353,0.004786,0.004786,0.004786
160,115960,0.88993,0.52773,0.78061,0.89373,0.92077,0.95945,0.68921,0.23906,0.16699,0.20356,0.004753,0.004753,0.004753
161,116635,0.91096,0.52558,0.83262,0.89374,0.92086,0.95945,0.68967,0.2392,0.16658,0.20351,0.00472,0.00472,0.00472
162,117313,0.93949,0.54437,0.82455,0.89375,0.92095,0.95948,0.68825,0.23899,0.16616,0.20357,0.004687,0.004687,0.004687
163,117991,0.9189,0.52854,0.82542,0.89379,0.92139,0.95956,0.68765,0.2391,0.16591,0.20361,0.004654,0.004654,0.004654
164,118669,0.89961,0.51284,0.80324,0.89373,0.92077,0.95964,0.68696,0.2391,0.16549,0.20371,0.004621,0.004621,0.004621
165,119347,0.93029,0.538,0.83238,0.89211,0.92046,0.95832,0.68611,0.23959,0.16535,0.20378,0.004588,0.004588,0.004588
166,120026,0.91849,0.54638,0.83308,0.89369,0.92042,0.95949,0.68665,0.23932,0.1653,0.20377,0.004555,0.004555,0.004555
167,120704,0.91278,0.53423,0.81629,0.89374,0.92088,0.95943,0.68673,0.23957,0.16513,0.20387,0.004522,0.004522,0.004522
168,121382,0.92366,0.52535,0.82421,0.89375,0.92102,0.95939,0.68771,0.23962,0.16535,0.20375,0.004489,0.004489,0.004489
169,122059,0.92416,0.54505,0.83911,0.89388,0.92153,0.95944,0.68737,0.23951,0.16498,0.20379,0.004456,0.004456,0.004456
170,122737,0.88071,0.51886,0.80014,0.89532,0.92083,0.95951,0.68724,0.23946,0.16485,0.20377,0.004423,0.004423,0.004423
171,123415,0.89242,0.51406,0.81207,0.89518,0.91946,0.9596,0.68788,0.23931,0.16481,0.20374,0.00439,0.00439,0.00439
172,124092,0.89871,0.52976,0.81979,0.89511,0.91883,0.95949,0.68894,0.23934,0.16489,0.20367,0.004357,0.004357,0.004357
173,124768,0.85497,0.50409,0.79652,0.89511,0.91882,0.95959,0.68843,0.23924,0.16466,0.20365,0.004324,0.004324,0.004324
174,125444,0.88678,0.5251,0.81993,0.89881,0.91606,0.9599,0.68929,0.23916,0.16484,0.2037,0.004291,0.004291,0.004291
175,126120,0.89039,0.50862,0.80764,0.89907,0.91606,0.95987,0.68945,0.23943,0.16468,0.20381,0.004258,0.004258,0.004258
176,126797,0.88247,0.48733,0.81473,0.89686,0.92036,0.96004,0.69007,0.23914,0.16462,0.20369,0.004225,0.004225,0.004225
177,127474,0.87427,0.49324,0.80451,0.89782,0.91606,0.9602,0.69075,0.23921,0.1641,0.20369,0.004192,0.004192,0.004192
178,128151,0.92815,0.54305,0.83527,0.89809,0.91664,0.96029,0.69131,0.23933,0.16397,0.20367,0.004159,0.004159,0.004159
179,128828,0.89847,0.53706,0.79632,0.89922,0.91788,0.96042,0.69202,0.23935,0.16404,0.20365,0.004126,0.004126,0.004126
180,129505,0.88403,0.51145,0.80393,0.89982,0.91788,0.96052,0.69143,0.23948,0.16401,0.20365,0.004093,0.004093,0.004093
181,130182,0.88262,0.50915,0.80586,0.89941,0.91788,0.96057,0.69156,0.23941,0.16373,0.20368,0.00406,0.00406,0.00406
182,130860,0.90999,0.52014,0.80759,0.89941,0.91788,0.96091,0.69203,0.23875,0.16355,0.20369,0.004027,0.004027,0.004027
183,131540,0.8591,0.4832,0.79249,0.89955,0.91788,0.96105,0.69302,0.23897,0.1633,0.20365,0.003994,0.003994,0.003994
184,132219,0.92766,0.51424,0.81858,0.90126,0.91606,0.95974,0.69109,0.23875,0.1629,0.20362,0.003961,0.003961,0.003961
185,132894,0.87509,0.49943,0.7861,0.90147,0.91606,0.96014,0.69118,0.23853,0.16297,0.20358,0.003928,0.003928,0.003928
186,133570,0.86712,0.49748,0.80689,0.9015,0.91606,0.96025,0.691,0.23865,0.1628,0.20352,0.003895,0.003895,0.003895
187,134244,0.90328,0.512,0.80599,0.9038,0.90328,0.95993,0.69188,0.23855,0.16277,0.20354,0.003862,0.003862,0.003862
188,134919,0.84709,0.47974,0.80576,0.90502,0.90417,0.96014,0.6929,0.23873,0.16268,0.20349,0.003829,0.003829,0.003829
189,135594,0.87408,0.5037,0.80925,0.90495,0.90347,0.96031,0.69247,0.23853,0.16287,0.20355,0.003796,0.003796,0.003796
190,136269,0.92154,0.51881,0.8304,0.90561,0.90328,0.96031,0.69189,0.23871,0.16302,0.20348,0.003763,0.003763,0.003763
191,136943,0.85802,0.50005,0.79917,0.9052,0.90603,0.96043,0.69149,0.2386,0.16291,0.20346,0.00373,0.00373,0.00373
192,137617,0.84155,0.49872,0.78372,0.90604,0.90328,0.96041,0.6921,0.23873,0.16313,0.20347,0.003697,0.003697,0.003697
193,138292,0.85684,0.49562,0.80025,0.90639,0.90328,0.96032,0.69346,0.23916,0.16282,0.20344,0.003664,0.003664,0.003664
